site,timestamp,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh
Muriwai 5kW + Batteries,2026-09-07T01:00:00+12:00,0.0,0.066,0.066,0.0
Muriwai 5kW + Batteries,2026-09-07T01:30:00+12:00,0.0,0.07,0.07,0.0
Muriwai 5kW + Batteries,2026-09-07T02:00:00+12:00,0.0,0.068,0.068,0.0
Muriwai 5kW + Batteries,2026-09-07T02:30:00+12:00,0.0,0.069,0.069,0.0
Muriwai 5kW + Batteries,2026-09-07T03:00:00+12:00,0.0,0.067,0.067,0.0
Muriwai 5kW + Batteries,2026-09-07T03:30:00+12:00,0.0,0.075,0.075,0.0
Muriwai 5kW + Batteries,2026-09-07T04:00:00+12:00,0.0,0.073,0.073,0.0
Muriwai 5kW + Batteries,2026-09-07T04:30:00+12:00,0.0,0.083,0.083,0.0
Muriwai 5kW + Batteries,2026-09-07T05:00:00+12:00,0.0,0.092,0.092,0.0
Muriwai 5kW + Batteries,2026-09-07T05:30:00+12:00,0.0,0.112,0.112,0.0
Muriwai 5kW + Batteries,2026-09-07T06:00:00+12:00,0.016,0.145,0.129,0.0
Muriwai 5kW + Batteries,2026-09-07T06:30:00+12:00,0.071,0.174,0.102,0.0
Muriwai 5kW + Batteries,2026-09-07T07:00:00+12:00,0.143,0.202,0.059,0.0
Muriwai 5kW + Batteries,2026-09-07T07:30:00+12:00,0.223,0.201,0.005,0.027
Muriwai 5kW + Batteries,2026-09-07T08:00:00+12:00,0.301,0.18,0.0,0.121
Muriwai 5kW + Batteries,2026-09-07T08:30:00+12:00,0.373,0.145,0.0,0.228
Muriwai 5kW + Batteries,2026-09-07T09:00:00+12:00,0.448,0.119,0.0,0.329
Muriwai 5kW + Batteries,2026-09-07T09:30:00+12:00,0.524,0.094,0.0,0.43
Muriwai 5kW + Batteries,2026-09-07T10:00:00+12:00,0.6,0.09,0.0,0.51
Muriwai 5kW + Batteries,2026-09-07T10:30:00+12:00,0.671,0.072,0.0,0.599
Muriwai 5kW + Batteries,2026-09-07T11:00:00+12:00,0.698,0.074,0.0,0.624
Muriwai 5kW + Batteries,2026-09-07T11:30:00+12:00,0.75,0.071,0.0,0.679
Muriwai 5kW + Batteries,2026-09-07T12:00:00+12:00,0.767,0.071,0.0,0.696
Muriwai 5kW + Batteries,2026-09-07T12:30:00+12:00,0.775,0.075,0.0,0.7
Muriwai 5kW + Batteries,2026-09-07T13:00:00+12:00,0.792,0.075,0.0,0.717
Muriwai 5kW + Batteries,2026-09-07T13:30:00+12:00,0.779,0.078,0.0,0.701
Muriwai 5kW + Batteries,2026-09-07T14:00:00+12:00,0.747,0.085,0.0,0.663
Muriwai 5kW + Batteries,2026-09-07T14:30:00+12:00,0.715,0.099,0.0,0.615
Muriwai 5kW + Batteries,2026-09-07T15:00:00+12:00,0.658,0.117,0.0,0.541
Muriwai 5kW + Batteries,2026-09-07T15:30:00+12:00,0.595,0.145,0.0,0.45
Muriwai 5kW + Batteries,2026-09-07T16:00:00+12:00,0.551,0.172,0.0,0.379
Muriwai 5kW + Batteries,2026-09-07T16:30:00+12:00,0.472,0.214,0.0,0.258
Muriwai 5kW + Batteries,2026-09-07T17:00:00+12:00,0.395,0.258,0.0,0.137
Muriwai 5kW + Batteries,2026-09-07T17:30:00+12:00,0.318,0.289,0.003,0.031
Muriwai 5kW + Batteries,2026-09-07T18:00:00+12:00,0.226,0.307,0.081,0.0
Muriwai 5kW + Batteries,2026-09-07T18:30:00+12:00,0.156,0.31,0.154,0.0
Muriwai 5kW + Batteries,2026-09-07T19:00:00+12:00,0.083,0.292,0.209,0.0
Muriwai 5kW + Batteries,2026-09-07T19:30:00+12:00,0.023,0.262,0.239,0.0
Muriwai 5kW + Batteries,2026-09-07T20:00:00+12:00,0.0,0.22,0.22,0.0
Muriwai 5kW + Batteries,2026-09-07T20:30:00+12:00,0.0,0.188,0.188,0.0
Muriwai 5kW + Batteries,2026-09-07T21:00:00+12:00,0.0,0.148,0.148,0.0
Muriwai 5kW + Batteries,2026-09-07T21:30:00+12:00,0.0,0.114,0.114,0.0
Muriwai 5kW + Batteries,2026-09-07T22:00:00+12:00,0.0,0.102,0.102,0.0
Muriwai 5kW + Batteries,2026-09-07T22:30:00+12:00,0.0,0.088,0.088,0.0
Muriwai 5kW + Batteries,2026-09-07T23:00:00+12:00,0.0,0.075,0.075,0.0
Muriwai 5kW + Batteries,2026-09-07T23:30:00+12:00,0.0,0.077,0.077,0.0
Muriwai 5kW + Batteries,2026-09-08T00:00:00+12:00,0.0,0.106,0.106,0.0
Muriwai 5kW + Batteries,2026-09-08T00:30:00+12:00,0.0,0.096,0.096,0.0
Muriwai 5kW + Batteries,2026-09-08T01:00:00+12:00,0.0,0.097,0.097,0.0
Muriwai 5kW + Batteries,2026-09-08T01:30:00+12:00,0.0,0.105,0.105,0.0
Muriwai 5kW + Batteries,2026-09-08T02:00:00+12:00,0.0,0.096,0.096,0.0
Muriwai 5kW + Batteries,2026-09-08T02:30:00+12:00,0.0,0.098,0.098,0.0
Muriwai 5kW + Batteries,2026-09-08T03:00:00+12:00,0.0,0.108,0.108,0.0
Muriwai 5kW + Batteries,2026-09-08T03:30:00+12:00,0.0,0.104,0.104,0.0
Muriwai 5kW + Batteries,2026-09-08T04:00:00+12:00,0.0,0.107,0.107,0.0
Muriwai 5kW + Batteries,2026-09-08T04:30:00+12:00,0.0,0.119,0.119,0.0
Muriwai 5kW + Batteries,2026-09-08T05:00:00+12:00,0.0,0.132,0.132,0.0
Muriwai 5kW + Batteries,2026-09-08T05:30:00+12:00,0.0,0.173,0.173,0.0
Muriwai 5kW + Batteries,2026-09-08T06:00:00+12:00,0.023,0.205,0.182,0.0
Muriwai 5kW + Batteries,2026-09-08T06:30:00+12:00,0.104,0.248,0.144,0.0
Muriwai 5kW + Batteries,2026-09-08T07:00:00+12:00,0.199,0.286,0.087,0.0
Muriwai 5kW + Batteries,2026-09-08T07:30:00+12:00,0.305,0.285,0.002,0.022
Muriwai 5kW + Batteries,2026-09-08T08:00:00+12:00,0.432,0.265,0.0,0.166
Muriwai 5kW + Batteries,2026-09-08T08:30:00+12:00,0.547,0.214,0.0,0.333
Muriwai 5kW + Batteries,2026-09-08T09:00:00+12:00,0.663,0.169,0.0,0.494
Muriwai 5kW + Batteries,2026-09-08T09:30:00+12:00,0.747,0.136,0.0,0.611
Muriwai 5kW + Batteries,2026-09-08T10:00:00+12:00,0.857,0.113,0.0,0.744
Muriwai 5kW + Batteries,2026-09-08T10:30:00+12:00,0.938,0.104,0.0,0.834
Muriwai 5kW + Batteries,2026-09-08T11:00:00+12:00,1.001,0.102,0.0,0.899
Muriwai 5kW + Batteries,2026-09-08T11:30:00+12:00,1.07,0.105,0.0,0.964
Muriwai 5kW + Batteries,2026-09-08T12:00:00+12:00,1.107,0.105,0.0,1.002
Muriwai 5kW + Batteries,2026-09-08T12:30:00+12:00,1.126,0.1,0.0,1.026
Muriwai 5kW + Batteries,2026-09-08T13:00:00+12:00,1.108,0.101,0.0,1.007
Muriwai 5kW + Batteries,2026-09-08T13:30:00+12:00,1.116,0.119,0.0,0.997
Muriwai 5kW + Batteries,2026-09-08T14:00:00+12:00,1.044,0.117,0.0,0.927
Muriwai 5kW + Batteries,2026-09-08T14:30:00+12:00,1.019,0.144,0.0,0.875
Muriwai 5kW + Batteries,2026-09-08T15:00:00+12:00,0.979,0.161,0.0,0.817
Muriwai 5kW + Batteries,2026-09-08T15:30:00+12:00,0.887,0.208,0.0,0.679
Muriwai 5kW + Batteries,2026-09-08T16:00:00+12:00,0.782,0.254,0.0,0.528
Muriwai 5kW + Batteries,2026-09-08T16:30:00+12:00,0.662,0.309,0.0,0.353
Muriwai 5kW + Batteries,2026-09-08T17:00:00+12:00,0.563,0.372,0.0,0.191
Muriwai 5kW + Batteries,2026-09-08T17:30:00+12:00,0.451,0.419,0.011,0.042
Muriwai 5kW + Batteries,2026-09-08T18:00:00+12:00,0.33,0.448,0.118,0.0
Muriwai 5kW + Batteries,2026-09-08T18:30:00+12:00,0.219,0.437,0.218,0.0
Muriwai 5kW + Batteries,2026-09-08T19:00:00+12:00,0.119,0.422,0.303,0.0
Muriwai 5kW + Batteries,2026-09-08T19:30:00+12:00,0.035,0.371,0.336,0.0
Muriwai 5kW + Batteries,2026-09-08T20:00:00+12:00,0.0,0.32,0.32,0.0
Muriwai 5kW + Batteries,2026-09-08T20:30:00+12:00,0.0,0.269,0.269,0.0
Muriwai 5kW + Batteries,2026-09-08T21:00:00+12:00,0.0,0.21,0.21,0.0
Muriwai 5kW + Batteries,2026-09-08T21:30:00+12:00,0.0,0.175,0.175,0.0
Muriwai 5kW + Batteries,2026-09-08T22:00:00+12:00,0.0,0.148,0.148,0.0
Muriwai 5kW + Batteries,2026-09-08T22:30:00+12:00,0.0,0.128,0.128,0.0
Muriwai 5kW + Batteries,2026-09-08T23:00:00+12:00,0.0,0.109,0.109,0.0
Muriwai 5kW + Batteries,2026-09-08T23:30:00+12:00,0.0,0.115,0.115,0.0
Muriwai 5kW + Batteries,2026-09-09T00:00:00+12:00,0.0,0.123,0.123,0.0
Muriwai 5kW + Batteries,2026-09-09T00:30:00+12:00,0.0,0.115,0.115,0.0
Muriwai 5kW + Batteries,2026-09-09T01:00:00+12:00,0.0,0.106,0.106,0.0
Muriwai 5kW + Batteries,2026-09-09T01:30:00+12:00,0.0,0.105,0.105,0.0
Muriwai 5kW + Batteries,2026-09-09T02:00:00+12:00,0.0,0.107,0.107,0.0
Muriwai 5kW + Batteries,2026-09-09T02:30:00+12:00,0.0,0.119,0.119,0.0
Muriwai 5kW + Batteries,2026-09-09T03:00:00+12:00,0.0,0.123,0.123,0.0
Muriwai 5kW + Batteries,2026-09-09T03:30:00+12:00,0.0,0.115,0.115,0.0
Muriwai 5kW + Batteries,2026-09-09T04:00:00+12:00,0.0,0.12,0.12,0.0
Muriwai 5kW + Batteries,2026-09-09T04:30:00+12:00,0.0,0.137,0.137,0.0
Muriwai 5kW + Batteries,2026-09-09T05:00:00+12:00,0.0,0.147,0.147,0.0
Muriwai 5kW + Batteries,2026-09-09T05:30:00+12:00,0.0,0.183,0.183,0.0
Muriwai 5kW + Batteries,2026-09-09T06:00:00+12:00,0.021,0.242,0.22,0.0
Muriwai 5kW + Batteries,2026-09-09T06:30:00+12:00,0.098,0.285,0.187,0.0
Muriwai 5kW + Batteries,2026-09-09T07:00:00+12:00,0.195,0.331,0.137,0.0
Muriwai 5kW + Batteries,2026-09-09T07:30:00+12:00,0.295,0.334,0.042,0.004
Muriwai 5kW + Batteries,2026-09-09T08:00:00+12:00,0.406,0.293,0.0,0.113
Muriwai 5kW + Batteries,2026-09-09T08:30:00+12:00,0.504,0.243,0.0,0.261
Muriwai 5kW + Batteries,2026-09-09T09:00:00+12:00,0.624,0.195,0.0,0.429
Muriwai 5kW + Batteries,2026-09-09T09:30:00+12:00,0.727,0.162,0.0,0.564
Muriwai 5kW + Batteries,2026-09-09T10:00:00+12:00,0.797,0.134,0.0,0.663
Muriwai 5kW + Batteries,2026-09-09T10:30:00+12:00,0.871,0.13,0.0,0.741
Muriwai 5kW + Batteries,2026-09-09T11:00:00+12:00,0.946,0.119,0.0,0.827
Muriwai 5kW + Batteries,2026-09-09T11:30:00+12:00,1.006,0.122,0.0,0.885
Muriwai 5kW + Batteries,2026-09-09T12:00:00+12:00,1.031,0.124,0.0,0.907
Muriwai 5kW + Batteries,2026-09-09T12:30:00+12:00,1.064,0.109,0.0,0.955
Muriwai 5kW + Batteries,2026-09-09T13:00:00+12:00,1.075,0.117,0.0,0.958
Muriwai 5kW + Batteries,2026-09-09T13:30:00+12:00,1.062,0.114,0.0,0.947
Muriwai 5kW + Batteries,2026-09-09T14:00:00+12:00,1.031,0.135,0.0,0.896
Muriwai 5kW + Batteries,2026-09-09T14:30:00+12:00,0.965,0.152,0.0,0.812
Muriwai 5kW + Batteries,2026-09-09T15:00:00+12:00,0.896,0.203,0.0,0.693
Muriwai 5kW + Batteries,2026-09-09T15:30:00+12:00,0.835,0.231,0.0,0.604
Muriwai 5kW + Batteries,2026-09-09T16:00:00+12:00,0.719,0.297,0.0,0.421
Muriwai 5kW + Batteries,2026-09-09T16:30:00+12:00,0.628,0.352,0.0,0.276
Muriwai 5kW + Batteries,2026-09-09T17:00:00+12:00,0.537,0.428,0.0,0.109
Muriwai 5kW + Batteries,2026-09-09T17:30:00+12:00,0.432,0.472,0.042,0.002
Muriwai 5kW + Batteries,2026-09-09T18:00:00+12:00,0.318,0.514,0.196,0.0
Muriwai 5kW + Batteries,2026-09-09T18:30:00+12:00,0.209,0.501,0.292,0.0
Muriwai 5kW + Batteries,2026-09-09T19:00:00+12:00,0.113,0.485,0.373,0.0
Muriwai 5kW + Batteries,2026-09-09T19:30:00+12:00,0.033,0.436,0.403,0.0
Muriwai 5kW + Batteries,2026-09-09T20:00:00+12:00,0.0,0.362,0.362,0.0
Muriwai 5kW + Batteries,2026-09-09T20:30:00+12:00,0.0,0.291,0.291,0.0
Muriwai 5kW + Batteries,2026-09-09T21:00:00+12:00,0.0,0.232,0.232,0.0
Muriwai 5kW + Batteries,2026-09-09T21:30:00+12:00,0.0,0.197,0.197,0.0
Muriwai 5kW + Batteries,2026-09-09T22:00:00+12:00,0.0,0.165,0.165,0.0
Muriwai 5kW + Batteries,2026-09-09T22:30:00+12:00,0.0,0.152,0.152,0.0
Muriwai 5kW + Batteries,2026-09-09T23:00:00+12:00,0.0,0.131,0.131,0.0
Muriwai 5kW + Batteries,2026-09-09T23:30:00+12:00,0.0,0.125,0.125,0.0
Muriwai 5kW + Batteries,2026-09-10T00:00:00+12:00,0.0,0.124,0.124,0.0
Muriwai 5kW + Batteries,2026-09-10T00:30:00+12:00,0.0,0.113,0.113,0.0
Muriwai 5kW + Batteries,2026-09-10T01:00:00+12:00,0.0,0.112,0.112,0.0
Muriwai 5kW + Batteries,2026-09-10T01:30:00+12:00,0.0,0.105,0.105,0.0
Muriwai 5kW + Batteries,2026-09-10T02:00:00+12:00,0.0,0.116,0.116,0.0
Muriwai 5kW + Batteries,2026-09-10T02:30:00+12:00,0.0,0.111,0.111,0.0
Muriwai 5kW + Batteries,2026-09-10T03:00:00+12:00,0.0,0.112,0.112,0.0
Muriwai 5kW + Batteries,2026-09-10T03:30:00+12:00,0.0,0.11,0.11,0.0
Muriwai 5kW + Batteries,2026-09-10T04:00:00+12:00,0.0,0.122,0.122,0.0
Muriwai 5kW + Batteries,2026-09-10T04:30:00+12:00,0.0,0.133,0.133,0.0
Muriwai 5kW + Batteries,2026-09-10T05:00:00+12:00,0.0,0.144,0.144,0.0
Muriwai 5kW + Batteries,2026-09-10T05:30:00+12:00,0.0,0.181,0.181,0.0
Muriwai 5kW + Batteries,2026-09-10T06:00:00+12:00,0.024,0.217,0.193,0.0
Muriwai 5kW + Batteries,2026-09-10T06:30:00+12:00,0.107,0.28,0.172,0.0
Muriwai 5kW + Batteries,2026-09-10T07:00:00+12:00,0.21,0.317,0.107,0.0
Muriwai 5kW + Batteries,2026-09-10T07:30:00+12:00,0.324,0.313,0.016,0.027
Muriwai 5kW + Batteries,2026-09-10T08:00:00+12:00,0.461,0.29,0.0,0.171
Muriwai 5kW + Batteries,2026-09-10T08:30:00+12:00,0.556,0.241,0.0,0.315
Muriwai 5kW + Batteries,2026-09-10T09:00:00+12:00,0.654,0.183,0.0,0.471
Muriwai 5kW + Batteries,2026-09-10T09:30:00+12:00,0.8,0.156,0.0,0.643
Muriwai 5kW + Batteries,2026-09-10T10:00:00+12:00,0.901,0.137,0.0,0.764
Muriwai 5kW + Batteries,2026-09-10T10:30:00+12:00,0.979,0.108,0.0,0.871
Muriwai 5kW + Batteries,2026-09-10T11:00:00+12:00,1.032,0.117,0.0,0.914
Muriwai 5kW + Batteries,2026-09-10T11:30:00+12:00,1.105,0.12,0.0,0.985
Muriwai 5kW + Batteries,2026-09-10T12:00:00+12:00,1.148,0.123,0.0,1.025
Muriwai 5kW + Batteries,2026-09-10T12:30:00+12:00,1.156,0.121,0.0,1.035
Muriwai 5kW + Batteries,2026-09-10T13:00:00+12:00,1.154,0.116,0.0,1.037
Muriwai 5kW + Batteries,2026-09-10T13:30:00+12:00,1.136,0.123,0.0,1.013
Muriwai 5kW + Batteries,2026-09-10T14:00:00+12:00,1.112,0.131,0.0,0.98
Muriwai 5kW + Batteries,2026-09-10T14:30:00+12:00,1.054,0.146,0.0,0.909
Muriwai 5kW + Batteries,2026-09-10T15:00:00+12:00,0.984,0.186,0.0,0.799
Muriwai 5kW + Batteries,2026-09-10T15:30:00+12:00,0.917,0.236,0.0,0.681
Muriwai 5kW + Batteries,2026-09-10T16:00:00+12:00,0.797,0.285,0.0,0.512
Muriwai 5kW + Batteries,2026-09-10T16:30:00+12:00,0.687,0.346,0.0,0.34
Muriwai 5kW + Batteries,2026-09-10T17:00:00+12:00,0.587,0.411,0.0,0.175
Muriwai 5kW + Batteries,2026-09-10T17:30:00+12:00,0.451,0.461,0.021,0.011
Muriwai 5kW + Batteries,2026-09-10T18:00:00+12:00,0.344,0.49,0.147,0.0
Muriwai 5kW + Batteries,2026-09-10T18:30:00+12:00,0.23,0.501,0.271,0.0
Muriwai 5kW + Batteries,2026-09-10T19:00:00+12:00,0.123,0.466,0.343,0.0
Muriwai 5kW + Batteries,2026-09-10T19:30:00+12:00,0.035,0.429,0.395,0.0
Muriwai 5kW + Batteries,2026-09-10T20:00:00+12:00,0.0,0.362,0.362,0.0
Muriwai 5kW + Batteries,2026-09-10T20:30:00+12:00,0.0,0.297,0.297,0.0
Muriwai 5kW + Batteries,2026-09-10T21:00:00+12:00,0.0,0.232,0.232,0.0
Muriwai 5kW + Batteries,2026-09-10T21:30:00+12:00,0.0,0.194,0.194,0.0
Muriwai 5kW + Batteries,2026-09-10T22:00:00+12:00,0.0,0.167,0.167,0.0
Muriwai 5kW + Batteries,2026-09-10T22:30:00+12:00,0.0,0.141,0.141,0.0
Muriwai 5kW + Batteries,2026-09-10T23:00:00+12:00,0.0,0.126,0.126,0.0
Muriwai 5kW + Batteries,2026-09-10T23:30:00+12:00,0.0,0.109,0.109,0.0
Muriwai 5kW + Batteries,2026-09-11T00:00:00+12:00,0.0,0.107,0.107,0.0
Muriwai 5kW + Batteries,2026-09-11T00:30:00+12:00,0.0,0.129,0.129,0.0
Muriwai 5kW + Batteries,2026-09-11T01:00:00+12:00,0.0,0.113,0.113,0.0
Muriwai 5kW + Batteries,2026-09-11T01:30:00+12:00,0.0,0.121,0.121,0.0
Muriwai 5kW + Batteries,2026-09-11T02:00:00+12:00,0.0,0.121,0.121,0.0
Muriwai 5kW + Batteries,2026-09-11T02:30:00+12:00,0.0,0.116,0.116,0.0
Muriwai 5kW + Batteries,2026-09-11T03:00:00+12:00,0.0,0.116,0.116,0.0
Muriwai 5kW + Batteries,2026-09-11T03:30:00+12:00,0.0,0.115,0.115,0.0
Muriwai 5kW + Batteries,2026-09-11T04:00:00+12:00,0.0,0.122,0.122,0.0
Muriwai 5kW + Batteries,2026-09-11T04:30:00+12:00,0.0,0.138,0.138,0.0
Muriwai 5kW + Batteries,2026-09-11T05:00:00+12:00,0.0,0.144,0.144,0.0
Muriwai 5kW + Batteries,2026-09-11T05:30:00+12:00,0.0,0.183,0.183,0.0
Muriwai 5kW + Batteries,2026-09-11T06:00:00+12:00,0.028,0.24,0.213,0.0
Muriwai 5kW + Batteries,2026-09-11T06:30:00+12:00,0.121,0.285,0.164,0.0
Muriwai 5kW + Batteries,2026-09-11T07:00:00+12:00,0.233,0.329,0.096,0.0
Muriwai 5kW + Batteries,2026-09-11T07:30:00+12:00,0.367,0.326,0.0,0.041
Muriwai 5kW + Batteries,2026-09-11T08:00:00+12:00,0.506,0.291,0.0,0.215
Muriwai 5kW + Batteries,2026-09-11T08:30:00+12:00,0.642,0.235,0.0,0.407
Muriwai 5kW + Batteries,2026-09-11T09:00:00+12:00,0.752,0.197,0.0,0.555
Muriwai 5kW + Batteries,2026-09-11T09:30:00+12:00,0.903,0.156,0.0,0.747
Muriwai 5kW + Batteries,2026-09-11T10:00:00+12:00,0.996,0.131,0.0,0.865
Muriwai 5kW + Batteries,2026-09-11T10:30:00+12:00,1.086,0.126,0.0,0.96
Muriwai 5kW + Batteries,2026-09-11T11:00:00+12:00,1.158,0.128,0.0,1.03
Muriwai 5kW + Batteries,2026-09-11T11:30:00+12:00,1.233,0.111,0.0,1.122
Muriwai 5kW + Batteries,2026-09-11T12:00:00+12:00,1.265,0.118,0.0,1.147
Muriwai 5kW + Batteries,2026-09-11T12:30:00+12:00,1.289,0.125,0.0,1.164
Muriwai 5kW + Batteries,2026-09-11T13:00:00+12:00,1.311,0.113,0.0,1.198
Muriwai 5kW + Batteries,2026-09-11T13:30:00+12:00,1.275,0.122,0.0,1.153
Muriwai 5kW + Batteries,2026-09-11T14:00:00+12:00,1.24,0.137,0.0,1.103
Muriwai 5kW + Batteries,2026-09-11T14:30:00+12:00,1.182,0.161,0.0,1.021
Muriwai 5kW + Batteries,2026-09-11T15:00:00+12:00,1.111,0.189,0.0,0.922
Muriwai 5kW + Batteries,2026-09-11T15:30:00+12:00,1.018,0.243,0.0,0.775
Muriwai 5kW + Batteries,2026-09-11T16:00:00+12:00,0.887,0.292,0.0,0.595
Muriwai 5kW + Batteries,2026-09-11T16:30:00+12:00,0.771,0.36,0.0,0.412
Muriwai 5kW + Batteries,2026-09-11T17:00:00+12:00,0.669,0.419,0.0,0.25
Muriwai 5kW + Batteries,2026-09-11T17:30:00+12:00,0.517,0.474,0.01,0.052
Muriwai 5kW + Batteries,2026-09-11T18:00:00+12:00,0.391,0.511,0.121,0.0
Muriwai 5kW + Batteries,2026-09-11T18:30:00+12:00,0.264,0.497,0.233,0.0
Muriwai 5kW + Batteries,2026-09-11T19:00:00+12:00,0.138,0.474,0.336,0.0
Muriwai 5kW + Batteries,2026-09-11T19:30:00+12:00,0.039,0.442,0.403,0.0
Muriwai 5kW + Batteries,2026-09-11T20:00:00+12:00,0.0,0.371,0.371,0.0
Muriwai 5kW + Batteries,2026-09-11T20:30:00+12:00,0.0,0.306,0.306,0.0
Muriwai 5kW + Batteries,2026-09-11T21:00:00+12:00,0.0,0.247,0.247,0.0
Muriwai 5kW + Batteries,2026-09-11T21:30:00+12:00,0.0,0.2,0.2,0.0
Muriwai 5kW + Batteries,2026-09-11T22:00:00+12:00,0.0,0.164,0.164,0.0
Muriwai 5kW + Batteries,2026-09-11T22:30:00+12:00,0.0,0.144,0.144,0.0
Muriwai 5kW + Batteries,2026-09-11T23:00:00+12:00,0.0,0.128,0.128,0.0
Muriwai 5kW + Batteries,2026-09-11T23:30:00+12:00,0.0,0.128,0.128,0.0
Muriwai 5kW + Batteries,2026-09-12T00:00:00+12:00,0.0,0.144,0.144,0.0
Muriwai 5kW + Batteries,2026-09-12T00:30:00+12:00,0.0,0.142,0.142,0.0
Muriwai 5kW + Batteries,2026-09-12T01:00:00+12:00,0.0,0.146,0.146,0.0
Muriwai 5kW + Batteries,2026-09-12T01:30:00+12:00,0.0,0.153,0.153,0.0
Muriwai 5kW + Batteries,2026-09-12T02:00:00+12:00,0.0,0.139,0.139,0.0
Muriwai 5kW + Batteries,2026-09-12T02:30:00+12:00,0.0,0.151,0.151,0.0
Muriwai 5kW + Batteries,2026-09-12T03:00:00+12:00,0.0,0.152,0.152,0.0
Muriwai 5kW + Batteries,2026-09-12T03:30:00+12:00,0.0,0.149,0.149,0.0
Muriwai 5kW + Batteries,2026-09-12T04:00:00+12:00,0.0,0.154,0.154,0.0
Muriwai 5kW + Batteries,2026-09-12T04:30:00+12:00,0.0,0.168,0.168,0.0
Muriwai 5kW + Batteries,2026-09-12T05:00:00+12:00,0.0,0.202,0.202,0.0
Muriwai 5kW + Batteries,2026-09-12T05:30:00+12:00,0.0,0.234,0.234,0.0
Muriwai 5kW + Batteries,2026-09-12T06:00:00+12:00,0.026,0.294,0.269,0.0
Muriwai 5kW + Batteries,2026-09-12T06:30:00+12:00,0.114,0.352,0.238,0.0
Muriwai 5kW + Batteries,2026-09-12T07:00:00+12:00,0.224,0.389,0.165,0.0
Muriwai 5kW + Batteries,2026-09-12T07:30:00+12:00,0.349,0.407,0.062,0.004
Muriwai 5kW + Batteries,2026-09-12T08:00:00+12:00,0.479,0.362,0.0,0.116
Muriwai 5kW + Batteries,2026-09-12T08:30:00+12:00,0.596,0.309,0.0,0.287
Muriwai 5kW + Batteries,2026-09-12T09:00:00+12:00,0.722,0.242,0.0,0.48
Muriwai 5kW + Batteries,2026-09-12T09:30:00+12:00,0.834,0.193,0.0,0.641
Muriwai 5kW + Batteries,2026-09-12T10:00:00+12:00,0.941,0.166,0.0,0.775
Muriwai 5kW + Batteries,2026-09-12T10:30:00+12:00,1.037,0.158,0.0,0.879
Muriwai 5kW + Batteries,2026-09-12T11:00:00+12:00,1.117,0.156,0.0,0.961
Muriwai 5kW + Batteries,2026-09-12T11:30:00+12:00,1.166,0.15,0.0,1.016
Muriwai 5kW + Batteries,2026-09-12T12:00:00+12:00,1.219,0.143,0.0,1.076
Muriwai 5kW + Batteries,2026-09-12T12:30:00+12:00,1.227,0.155,0.0,1.073
Muriwai 5kW + Batteries,2026-09-12T13:00:00+12:00,1.232,0.156,0.0,1.075
Muriwai 5kW + Batteries,2026-09-12T13:30:00+12:00,1.223,0.151,0.0,1.072
Muriwai 5kW + Batteries,2026-09-12T14:00:00+12:00,1.148,0.169,0.0,0.98
Muriwai 5kW + Batteries,2026-09-12T14:30:00+12:00,1.109,0.186,0.0,0.923
Muriwai 5kW + Batteries,2026-09-12T15:00:00+12:00,1.056,0.238,0.0,0.818
Muriwai 5kW + Batteries,2026-09-12T15:30:00+12:00,0.97,0.286,0.0,0.684
Muriwai 5kW + Batteries,2026-09-12T16:00:00+12:00,0.841,0.365,0.0,0.476
Muriwai 5kW + Batteries,2026-09-12T16:30:00+12:00,0.75,0.434,0.0,0.316
Muriwai 5kW + Batteries,2026-09-12T17:00:00+12:00,0.615,0.523,0.0,0.092
Muriwai 5kW + Batteries,2026-09-12T17:30:00+12:00,0.504,0.594,0.09,0.0
Muriwai 5kW + Batteries,2026-09-12T18:00:00+12:00,0.37,0.626,0.256,0.0
Muriwai 5kW + Batteries,2026-09-12T18:30:00+12:00,0.244,0.623,0.378,0.0
Muriwai 5kW + Batteries,2026-09-12T19:00:00+12:00,0.134,0.609,0.475,0.0
Muriwai 5kW + Batteries,2026-09-12T19:30:00+12:00,0.038,0.529,0.491,0.0
Muriwai 5kW + Batteries,2026-09-12T20:00:00+12:00,0.0,0.444,0.444,0.0
Muriwai 5kW + Batteries,2026-09-12T20:30:00+12:00,0.0,0.374,0.374,0.0
Muriwai 5kW + Batteries,2026-09-12T21:00:00+12:00,0.0,0.303,0.303,0.0
Muriwai 5kW + Batteries,2026-09-12T21:30:00+12:00,0.0,0.244,0.244,0.0
Muriwai 5kW + Batteries,2026-09-12T22:00:00+12:00,0.0,0.205,0.205,0.0
Muriwai 5kW + Batteries,2026-09-12T22:30:00+12:00,0.0,0.176,0.176,0.0
Muriwai 5kW + Batteries,2026-09-12T23:00:00+12:00,0.0,0.157,0.157,0.0
Muriwai 5kW + Batteries,2026-09-12T23:30:00+12:00,0.0,0.156,0.156,0.0
Muriwai 5kW + Batteries,2026-09-13T00:00:00+12:00,0.0,0.152,0.152,0.0
Muriwai 5kW + Batteries,2026-09-13T00:30:00+12:00,0.0,0.143,0.143,0.0
Muriwai 5kW + Batteries,2026-09-13T01:00:00+12:00,0.0,0.14,0.14,0.0
Muriwai 5kW + Batteries,2026-09-13T01:30:00+12:00,0.0,0.144,0.144,0.0
